6,231521648349469e-16
3,525069028755358e-15
9,713915071302618e-15
1,994066659673055e-14
3,483479293838164e-14
5,4949643240743564e-14
8,07849349884364e-14
1,1279991590767697e-13
1,5142187187428404e-13
1,9705200839658733e-13
2,5006971961823995e-13
3,1083580419490604e-13
3,796949598813476e-13
4,569777650872117e-13
5,430022841193717e-13
6,380753892353688e-13
7,424938649242677e-13
8,565453415851833e-13
9,805090933903272e-13
1,11465672649409e-12
1,259252777603486e-12
1,4145552384575113e-12
1,5808160184575152e-12
1,758281355205544e-12
1,9471921808131175e-12
2,1477844503792895e-12
2,3602894378934107e-12
2,5849340039148122e-12
2,8219408386610935e-12
3,071528683556995e-12
